Название пары,Текущая цена,Максимальная цена за сутки,Минимальная цена за сутки,Изменение цены за сутки,Изменение цены в процентах за сутки,Объем торгов за сутки
ADABUSD,0.38530000,0.40910000,0.37890000,-0.02100000,-5.169%,66507713.50000000
CTXCBNB,0.00412200,0.00000000,0.00000000,0.00000000,0.000%,0.00000000
CTXCBTC,0.00000521,0.00000530,0.00000513,-0.00000003,-0.573%,1410788.00000000
CTXCUSDT,0.10530000,0.10880000,0.10390000,-0.00290000,-2.680%,5806237.00000000
BCHBNB,0.39200000,0.39900000,0.38900000,-0.00700000,-1.754%,501.04000000
BCHBTC,0.00556000,0.00560000,0.00551000,-0.00001000,-0.180%,3204.29700000
BCHUSDT,112.40000000,115.70000000,111.00000000,-2.50000000,-2.176%,53416.24000000
BCHUSDC,114.80000000,0.00000000,0.00000000,0.00000000,0.000%,0.00000000
BCHTUSD,630.00000000,0.00000000,0.00000000,0.00000000,0.000%,0.00000000
BCHPAX,617.72000000,0.00000000,0.00000000,0.00000000,0.000%,0.00000000
BCHBUSD,112.50000000,115.70000000,111.00000000,-2.40000000,-2.089%,8880.90500000
BTCRUB,1244791.00000000,1276430.00000000,1235289.00000000,-23492.00000000,-1.852%,21.45400000
ETHRUB,92862.60000000,97196.20000000,91691.80000000,-2334.40000000,-2.452%,171.39230000
XRPRUB,28.35000000,29.13000000,28.17000000,-0.73000000,-2.510%,82738.00000000
BNBRUB,17620.25000000,17847.50000000,17503.40000000,-91.98000000,-0.519%,76.65900000
TROYBNB,0.00001261,0.00001293,0.00001252,-0.00000021,-1.638%,2723548.00000000
TROYBTC,0.00000018,0.00000000,0.00000000,0.00000000,0.000%,0.00000000
TROYUSDT,0.00361200,0.00374400,0.00359400,-0.00008900,-2.405%,55088734.00000000
BUSDRUB,61.53000000,61.69000000,61.38000000,-0.05000000,-0.081%,144235.00000000
QTUMBUSD,2.83200000,2.88000000,2.73300000,-0.01400000,-0.492%,26877.50000000
VETBUSD,0.02288000,0.02365000,0.02265000,-0.00061000,-2.597%,74991117.00000000
VITEBNB,0.00070700,0.00000000,0.00000000,0.00000000,0.000%,0.00000000
VITEBTC,0.00000168,0.00000183,0.00000162,-0.00000011,-6.145%,10951547.00000000
VITEUSDT,0.03409000,0.03771000,0.03361000,-0.00286000,-7.740%,77240787.10000000
FTTBNB,0.08440000,0.08630000,0.08390000,-0.00050000,-0.589%,3658.78000000
FTTBTC,0.00119770,0.00120640,0.00118290,0.00001370,1.157%,21682.32000000
FTTUSDT,24.22000000,24.99000000,23.98000000,-0.20000000,-0.819%,234051.81000000
BTCTRY,379863.00000000,389102.00000000,376398.00000000,-6320.00000000,-1.637%,1326.57229000
BNBTRY,5385.00000000,5435.00000000,5356.00000000,-12.00000000,-0.222%,4089.87900000
BUSDTRY,18.78700000,18.83000000,18.71000000,0.06100000,0.326%,24781137.00000000
ETHTRY,28334.00000000,29571.00000000,27950.00000000,-659.00000000,-2.273%,6168.61420000
XRPTRY,8.67000000,8.91900000,8.58100000,-0.16500000,-1.868%,5559033.00000000
